h3_index,center_lat,center_lon,h3_lat,h3_lon,violation_count,unique_vehicles,avg_severity,avg_vehicle_weight,multi_violation_pct,top_violation,top_vehicle,police_station,peak_hour,primary_road,highway_type,violations_per_day,boundary,avg_delta_v,avg_delta_v_pct,avg_time_loss,cpi,risk_level,enforcement_priority,velocity_recovery_per_violation
8861892635fffff,12.8598974,77.6479168,12.858540338565906,77.64735366253507,1,1,0.096,0.4,0.0,WRONG PARKING,SCOOTER,Electronic City,1,unknown,tertiary,0.006666666666666667,"[(12.85602728769095, 77.65152469560623), (12.861017526808231, 77.65160954280292), (12.863530444948156, 77.6474384389676), (12.86105319668962, 77.64318275652964), (12.856063190828202, 77.64309805367948), (12.85355019996723, 77.64726888892649)]",5.9979118329466345,14.999999999999996,0.26479803944323443,0.2171,Low,0.08906640368178828,5.9979118329466345
886189262dfffff,12.8611147,77.6748328,12.85843175346861,77.67263737732313,1,1,0.18,0.5,0.0,WRONG PARKING,JEEP,Electronic City,22,1st Main Road,tertiary,0.006666666666666667,"[(12.855917944350956, 77.67680938434218), (12.86090888272924, 77.67689466471737), (12.863422559231577, 77.6727225869068), (12.86094536990243, 77.66846549714936), (12.855954664526669, 77.66838036119013), (12.853440915475295, 77.67255217057814)]",5.9979118329466345,14.999999999999996,0.26479803944323443,0.2255,Medium,0.08906640368178828,5.9979118329466345
886189272bfffff,12.9012497,77.6887498,12.90327827569472,77.69026674323779,1,1,0.168,0.7,0.0,WRONG PARKING,CAR,Bellandur,2,unknown,tertiary,0.006666666666666667,"[(12.900765155200192, 77.69444003623876), (12.905756266095873, 77.69452563117947), (12.908269253736512, 77.69035226734735), (12.90579120321145, 77.6860935769651), (12.900800325107033, 77.68600812653077), (12.89828726473412, 77.69018122197801)]",5.9979118329466345,14.999999999999996,0.26479803944323443,0.2243,Medium,0.08906640368178828,5.9979118329466345
88601459d9fffff,13.0152174,77.4870229,13.016215248477769,77.48576727436439,1,1,0.588,0.7,0.0,WRONG PARKING,CAR,Kamakshipalya,6,Thigalarapalya Main Rd,tertiary,0.006666666666666667,"[(13.013711349669302, 77.4899341712203), (13.01869597578421, 77.49001629394594), (13.021199739976183, 77.48584932643041), (13.018718952929001, 77.4816005061074), (13.01373456155559, 77.48151852742795), (13.011230722485754, 77.48568522503115)]",5.9979118329466345,14.999999999999996,0.26479803944323443,0.2663,High,0.08906640368178828,5.9979118329466345
88618924cbfffff,12.867672,77.581277,12.866283604632294,77.58430120213671,1,1,0.36,1.0,0.0,WRONG PARKING,LGV,Thalagattapura,22,unknown,tertiary,0.006666666666666667,"[(12.863772649122533, 77.58846990096352), (12.868761088405448, 77.5885536703112), (12.871271910828668, 77.58438490078532), (12.868794367167068, 77.58013263093035), (12.863806161764773, 77.58004900576243), (12.861295266141285, 77.58421750627551)]",5.9979118329466345,14.999999999999996,0.26479803944323443,0.2435,Medium,0.08906640368178828,5.9979118329466345
8861892551fffff,12.9230219,77.6566549,12.918386342871258,77.65680000993144,1,1,0.096,0.4,0.0,WRONG PARKING,SCOOTER,Bellandur,0,Sarjapura Road,tertiary,0.006666666666666667,"[(12.915874633919843, 77.66097221722652), (12.920864714097247, 77.66105724277887), (12.923376289929225, 77.65688496468191), (12.920897858642558, 77.65262792966911), (12.915908011580193, 77.65254304854534), (12.913396362687216, 77.65671505801154)]",5.9979118329466345,14.999999999999996,0.26479803944323443,0.2171,Low,0.08906640368178828,5.9979118329466345
8860145a87fffff,12.9514737,77.4844199,12.948934365776328,77.4804530530009,1,1,0.252,0.7,0.0,WRONG PARKING,CAR,Jnanabharathi,23,Kenchanapura Road,tertiary,0.006666666666666667,"[(12.946428779858278, 77.48461883232117), (12.951413747429617, 77.48470084614051), (12.953919199185478, 77.48053499619735), (12.951439757828716, 77.47628740226929), (12.946455025107115, 77.47620553241842), (12.943949498890436, 77.48037111253298)]",5.9979118329466345,14.999999999999996,0.26479803944323443,0.2327,Medium,0.08906640368178828,5.9979118329466345
8861892733fffff,12.9032077,77.6615839,12.903382206208985,77.66497436730651,1,1,0.096,0.4,0.0,WRONG PARKING,SCOOTER,Bellandur,2,Haralur Road,tertiary,0.006666666666666667,"[(12.900869845004683, 77.6691466869416), (12.905860257272932, 77.66923184843256), (12.908372485503635, 77.6650594579936), (12.90589437436825, 77.66080217462051), (12.900904195144856, 77.66071715756657), (12.898391894009738, 77.66488927945446)]",5.9979118329466345,14.999999999999996,0.26479803944323443,0.2171,Low,0.08906640368178828,5.9979118329466345
8861892cebfffff,13.0413782,77.6216285,13.045739580746607,77.62102712688122,1,1,0.252,0.7,0.0,WRONG PARKING,CAR,Hennuru,23,Service Road,tertiary,0.006666666666666667,"[(13.043232421487609, 77.62519967620004), (13.048220583262673, 77.62528412373057), (13.05072760832556, 77.6211115035902), (13.048246545770983, 77.61685470501199), (13.043258617365309, 77.61677040193081), (13.040751518142583, 77.62094275298426)]",5.9979118329466345,14.999999999999996,0.26479803944323443,0.2327,Medium,0.08906640368178828,5.9979118329466345
8861892c91fffff,13.0422765,77.5819519,13.038373621640456,77.5829775446413,1,1,0.252,0.7,0.0,WRONG PARKING,CAR,Kodigehalli,23,Bhoopasandra Main Road,tertiary,0.006666666666666667,"[(13.035867405101886, 77.5871485208359), (13.040854568474819, 77.58723231433912), (13.043360650691989, 77.5830612673679), (13.040879643902407, 77.57880669622129), (13.03589271428492, 77.57872304705529), (13.033386557699371, 77.58289382470446)]",5.9979118329466345,14.999999999999996,0.26479803944323443,0.2327,Medium,0.08906640368178828,5.9979118329466345
8861892ee7fffff,13.0089383,77.6480467,13.0082291769594,77.64989818456539,1,1,0.168,0.7,0.0,WRONG PARKING,CAR,Banaswadi,0,unknown,tertiary,0.006666666666666667,"[(13.00572012350164, 77.65407134159825), (13.010709362126773, 77.65415627365066), (13.013218281790838, 77.64998304578211), (13.010738036539776, 77.6457251546995), (13.005749031026511, 77.64564036714089), (13.003240037650171, 77.64981332617684)]",5.9979118329466345,14.999999999999996,0.26479803944323443,0.2243,Medium,0.08906640368178828,5.9979118329466345
8860144a2dfffff,13.0711589,77.4431048,13.068659992396318,77.4403463071229,1,1,0.12,0.5,0.0,WRONG PARKING,LORRY/GOODS VEHICLE,No Police Station,1,unknown,tertiary,0.006666666666666667,"[(13.066158908600094, 77.44451214042671), (13.071141876545934, 77.44459349963394), (13.073642825142521, 77.4404275956967), (13.07116088132864, 77.43618060285426), (13.066178148530083, 77.43609938761531), (13.063677124396039, 77.4402650212564)]",5.995823665893276,15.00000000000001,0.2648902607246756,0.2195,Medium,0.08903545710331945,5.995823665893276
8860144b5bfffff,13.0689746,77.4470111,13.06864073307749,77.44875953257177,1,1,0.12,0.5,0.0,WRONG PARKING,LORRY/GOODS VEHICLE,No Police Station,1,unknown,tertiary,0.006666666666666667,"[(13.066139394766317, 77.45292569447214), (13.071122597776098, 77.45300719767118), (13.073623800926729, 77.44884096512806), (13.071141876545934, 77.44459349963394), (13.066158908600094, 77.44451214042671), (13.063657629969054, 77.44867810272767)]",5.995823665893276,15.00000000000001,0.2648902607246756,0.2195,Medium,0.08903545710331945,5.995823665893276
886016905dfffff,13.1820686,77.6958299,13.180214518242948,77.6992377494013,1,1,0.3276,0.7,1.0,WRONG PARKING,CAR,Chikkajala,23,unknown,tertiary,0.006666666666666667,"[(13.17770869677838, 77.70341513950163), (13.18269798065011, 77.70350096535849), (13.185203667328699, 77.6993235042899), (13.182720144661117, 77.69506048617869), (13.177731093259457, 77.69497480511276), (13.17522533205301, 77.69915199737284)]",5.974941995359629,15.000000000000002,0.26581601885861517,0.2403,Medium,0.2887259913186302,5.974941995359629
8860145853fffff,12.969512,77.50194819999999,12.97130232152126,77.50185936670057,2,2,0.3318,0.55,0.5,WRONG PARKING,SCOOTER,Jnanabharathi,6,Malathhalli Main Road,secondary,0.013333333333333334,"[(12.968796705286017, 77.5060262829235), (12.973782108143984, 77.50610866911224), (12.976287590157305, 77.50194168223254), (12.973807743777257, 77.49769257889992), (12.968822575538136, 77.49761033676026), (12.966317019058083, 77.50177705390999)]",10.87121519721578,22.500000000000007,0.3749203987037546,0.2883,Critical,0.26146614069691,5.43560759860789
8860169661fffff,13.1050265,77.600502,13.105662173394158,77.59675017614924,1,1,0.43679999999999997,0.4,1.0,WRONG PARKING,SCOOTER,Yelahanka,7,unknown,unclassified,0.006666666666666667,"[(13.103157391028514, 77.60092259749061), (13.108144426876501, 77.60100664535024), (13.110649074506693, 77.59683415318624), (13.108166761012589, 77.59257788251847), (13.103179958725084, 77.59249397909727), (13.100675236368986, 77.5966662019112)]",5.248172853828308,15.000000000000005,0.30262633079226825,0.2137,Low,0.27795529257067725,5.248172853828308
8860145a3dfffff,12.9528577,77.5366762,12.956238304063396,77.53528116998447,1,1,0.324,0.9,0.0,WRONG PARKING,PASSENGER AUTO,Byatarayanapura,21,unknown,living_street,0.006666666666666667,"[(12.953731270979128, 77.53944918289586), (12.958717712684523, 77.53953213722544), (12.961224611810042, 77.53536405362739), (12.95874514336712, 77.53111328519338), (12.95375893596029, 77.5310304749918), (12.951251962695661, 77.53519828910204)]",5.248172853828308,15.000000000000005,0.30262633079226825,0.1524,Low,0.07795529257067722,5.248172853828308
8861892495fffff,12.88616383056532,77.55715644709502,12.888842261771282,77.55520708971497,1,1,0.588,0.7,0.0,WRONG PARKING,CAR,K.S. Layout,6,Kanakapura Road,trunk,0.006666666666666667,"[(12.886332791061669, 77.55937496507038), (12.891320265369506, 77.5594582423694), (12.893829602694863, 77.5552902963364), (12.891351539259828, 77.55103934225114), (12.886364299105542, 77.55095620907238), (12.883854888230594, 77.55512388586443)]",5.248172853828308,15.000000000000005,0.30262633079226825,0.3288,Critical,0.07795529257067722,5.248172853828308
8861892607fffff,12.8401217,77.6535483,12.843533204104064,77.65552602826224,1,1,0.252,0.3,0.0,WRONG PARKING,MOTOR CYCLE,Electronic City,6,unknown,secondary_link,0.006666666666666667,"[(12.841019502603514, 77.65969717381498), (12.846010071222885, 77.65978215688806), (12.848523640134507, 77.65561094056919), (12.846046712988763, 77.65135500969168), (12.84105637755473, 77.65127017097358), (12.838542736078862, 77.65544111878374)]",5.248172853828308,15.000000000000005,0.30262633079226825,0.1952,Low,0.07795529257067722,5.248172853828308
8861892e09fffff,12.98377321094536,77.69188587,12.985609506718296,77.69589553824004,1,1,0.096,0.4,0.0,WRONG PARKING,SCOOTER,Mahadevapura,0,unknown,trunk_link,0.006666666666666667,"[(12.983098455956647, 77.7000701624421), (12.988089129708252, 77.70015587676632), (12.990600047053437, 77.69598118168915), (12.98812036389299, 77.69172104078476), (12.983129922810841, 77.69163547105957), (12.980618932217364, 77.69580989764549)]",5.248172853828308,15.000000000000005,0.30262633079226825,0.1796,Low,0.07795529257067722,5.248172853828308
8860145909fffff,13.0415233,77.547125,13.03847219401127,77.54928173934807,1,1,0.072,0.3,0.0,WRONG PARKING,MOTOR CYCLE,Jalahalli,3,Outer Ring Road,trunk,0.006666666666666667,"[(13.035966994383323, 77.55345140929981), (13.040953222230671, 77.5535346255941), (13.043458287379424, 77.54936488490259), (13.040977199276009, 77.54511219746364), (13.035991205519831, 77.54502912541321), (13.033486065773728, 77.54919859656368)]",5.248172853828308,15.000000000000005,0.30262633079226825,0.2772,Critical,0.07795529257067722,5.248172853828308
8861892dc9fffff,13.0736507,77.6516437,13.07556629570052,77.65526064797804,1,1,0.25479999999999997,0.7,1.0,NO PARKING,CAR,Hennuru,2,Hennur Bagalur Road,primary,0.006666666666666667,"[(13.07305892418262, 77.65943492410338), (13.078047806950252, 77.65951996667106), (13.080555044219846, 77.65534561967324), (13.078073472847016, 77.65108649902847), (13.073084823081183, 77.65100160103253), (13.070577511684103, 77.65517567911537)]",4.998259860788863,10.000000000000002,0.13337975320103682,0.268,High,0.2742515888669735,4.998259860788863
88601696d3fffff,13.0800894,77.5022272,13.0759857434351,77.50358856876566,1,1,0.48999999999999994,0.5,0.0,NO PARKING,JEEP,Chikkabanavara,6,Hesaraghatta Main Road,primary,0.006666666666666667,"[(13.073482953229417, 77.50775696928038), (13.078467629093938, 77.507839413119), (13.08097028434135, 77.50367094189755), (13.078488338880597, 77.4994202967456), (13.073503897529703, 77.49933799705884), (13.071001167123784, 77.503506198378)]",4.998259860788863,10.000000000000002,0.13337975320103682,0.2915,Critical,0.07425158886697349,4.998259860788863
8860145ad5fffff,12.9248418,77.4852695,12.926488575908706,77.48429080435139,1,1,0.294,0.3,0.0,NO PARKING,MOTOR CYCLE,Kengeri,8,Kengeri Main Road,primary,0.006666666666666667,"[(12.923982260006316, 77.48845642974067), (12.928967494877257, 77.48853850325409), (12.931473676795388, 77.48437280724798), (12.928994698123914, 77.48012530749888), (12.924009698082685, 77.48004337794362), (12.921503441881116, 77.48420880418513)]",4.998259860788863,10.000000000000002,0.13337975320103682,0.2719,High,0.07425158886697349,4.998259860788863
